Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
T,False,,0.559,2.176,
R,False,,25.593,0.464,train
E,False,,0.752,2.761,
F,False,,20.624,0.512,en direction de la tour eiffel
S,True,,0.735,3.736,
J,False,,36.193,0.856,avec de la sauce soja (oui très culturelle)
Q,False,,0.56,1.0,
I,False,,33.233,0.809,"et en jouant avec les quilles, ah là ! C'est la belle vie"
V,False,,0.472,3.144,
S,False,,21.376,0.495,mais vas-y toi trop la chiatte aussi
END,False,,1.008,4.736,
U,False,,0.48,2.728,
H,True,,8.913,0.384,uhhh
N,False,,0.472,3.591,
D,False,,24.096,0.464,regarde-moi ce nid
T,False,,0.472,1.728,
M,False,,19.201,0.921,wsh mais frr on dirait ils font des tm
V,False,,0.511,2.024,
H,False,,12.641,0.536,oh la vache
END,False,,1.616,1.16,
