Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
G,False,,0.544,2.439,
O,False,,7.433,0.521,goo
A,False,,0.976,1.408,
H,False,,19.368,0.44,"ahhh, bro didn't start well"
E,False,,0.456,2.064,
J,False,,69.178,0.823,"oh le pauvre, il a été éjecté"
S,False,,0.528,4.896,
F,False,,33.561,0.472,j'espère qu'il est safe hein
I,False,,0.448,2.336,
K,True,,25.121,0.576,"i know, oui je sais que tu espères mais là qd même hein"
T,False,,0.48,9.776,
K,False,,9.896,0.489,oh mais tkt je suis sûr il va gérer
END,False,,0.632,0.808,
D,False,,0.648,8.417,
J,False,,11.889,0.919,ohh le dj !
H,True,,0.375,1.016,
O,False,,22.041,0.528,ho ho ho le dj est tlm fort que même le père noel s'incruste
B,False,,0.609,2.472,
P,False,,18.952,0.776,"ah ce bip, bip bip c vrm le meilleur beat"
G,False,,0.504,3.728,
X,False,,20.737,0.48,et les lumières ... ohh c comme si j'utilisais une carte graphique gtx
END,False,,0.759,4.576,
