Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
V,False,,1.78,3.104,
N,False,,24.169,0.416,Va t en
S,False,P,0.608,6.144,
L,False,,16.169,5.128,"oh mais toi, sale ..."
X,False,P,0.633,1.104,
K,True,,20.768,4.297,hum hum ok (Elon musk)
P,False,,0.512,4.456,
I,False,,15.825,0.672,va faire pipi ailleurs
U,False,,0.536,15.672,
H,True,,17.056,1.088,"Uhh, bruh ..."
D,False,,0.536,5.928,
H,False,,50.105,1.135,voilà comment Doechii a réagi qd elle l'a vu dans sa chambre
A,True,,0.576,2.073,
Q,False,,26.929,1.712,oe c très ... aquatique (surtout ce pipi)
END,False,,1.776,1.032,
J,False,,1.12,29.233,
T,False,,16.865,0.513,ohh le jitan
D,False,,0.536,2.576,
N,False,,15.793,0.488,le jitan qui danse danse danse danse danse
H,True,,0.471,2.912,
G,False,,27.466,0.464,et qui fini par ... lui faire un calin
P,False,,0.791,3.816,
X,False,,20.065,0.408,"ahh oui ces souvenirs, dommage que ca soit autant pixelisé ..."
END,False,,0.817,3.016,
