Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
T,False,,6.32,,0.617,3.536,,,4.864
I,False,,2.673,,0.448,1.025,,,5.352
W,False,,3.559,,0.482,2.272,,,4.872
P,False,,3.063,,0.48,1.208,,T again,31.802
D,True,,2.712,,0.912,3.177,,,3.152
L,False,,6.32,,0.528,5.216,,,3.656
V,False,,2.928,,0.536,2.024,,,6.656
D,False,,5.296,,0.552,1.073,,,2.753
X,True,,1.976,,0.52,1.183,,,4.921
K,False,,3.545,,0.736,0.985,,,23.129
G,False,,1.527,,0.529,12.968,,,6.033
R,True,,4.079,,0.512,0.936,,,3.506
A,False,,1.865,,0.416,2.423,,,5.825
H,False,,1.705,,0.391,0.88,,,5.688
END,False,,5.848,,0.0,1.92,,,0.0
B,False,,3.185,,0.391,6.209,,,4.64
L,False,,5.888,,0.465,0.904,,,7.152
H,False,,3.232,,0.465,2.208,,,7.456
W,True,,4.591,,0.433,1.328,,,9.617
I,False,,7.473,,0.456,1.856,,,5.568
O,False,,10.776,,0.496,10.721,,did wrong the last,20.257
END,False,,8.561,,0.0,1.744,,,0.0
