Letter,IsFoC,DoMistake,DoTime
T,False,,6.375
H,False,,5.264
Q,False,,5.568
O,False,,6.505
S,True,,7.488
K,False,,6.8
X,False,,4.6
J,False,,5.593
C,False,,5.624
F,False,,4.384
D,False,,4.608
S,False,,6.488
END,False,,0.0
H,True,,6.872
T,False,,6.512
P,False,,6.073
U,False,,5.415
N,False,,5.473
H,False,,5.64
C,True,,9.929
M,False,,5.264
D,True,,5.832
I,False,,7.656
END,False,,0.0
