Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
E,False,,7.977,,0.52,1.071,,,5.192
P,False,,2.407,,0.488,0.952,,,4.152
L,True,,4.089,,0.528,5.993,,,3.193
S,False,,4.519,,0.552,0.871,,,5.176
K,False,,7.12,V,0.456,7.121,,,13.999
R,False,,5.799,,0.6,0.977,,,3.463
V,False,,5.272,,0.513,1.24,,,4.984
A,False,,3.112,,0.424,0.896,,,5.071
N,False,,9.696,,0.399,2.241,,,6.471
X,False,,5.56,,0.481,0.943,,,4.865
F,False,,2.88,I,0.44,2.176,,,11.952
C,True,END,32.656,,0.656,1.024,,,7.248
I,False,,1.504,,0.488,0.896,,,6.673
END,False,,1.84,,0.0,2.711,,,0.0
PARITY,False,,0.0,,0.0,2.136,,,3.304
D,False,,3.48,,0.417,7.905,,,5.208
G,False,,4.567,,0.448,0.888,,,4.199
S,False,,6.408,,0.416,1.216,,,5.801
T,False,,3.729,,0.512,0.815,,,5.032
J,True,,10.231,,0.528,1.28,,,8.496
Q,False,,2.52,,0.432,7.457,,,4.359
C,False,,5.72,,0.56,1.728,,,5.056
END,False,,1.583,,0.0,0.928,,,0.0
