Letter,IsFoC,PlanMistake,PlanTime
U,False,,2.784
Q,False,,2.439
H,False,,5.24
D,True,,4.424
S,False,,7.041
P,False,,3.944
G,False,,5.463
T,False,,7.217
O,False,,3.176
D,False,,8.176
END,False,X,27.585
D,False,,13.144
V,True,,2.344
U,False,,2.929
O,False,,5.559
C,False,,2.768
B,False,,4.616
H,False,,3.512
P,False,,2.4
END,False,,1.84
