Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
D,False,,0.697,20.35,
O,False,,13.015,0.528,ahh dodo
H,False,,0.592,2.761,
F,False,,22.599,0.503,Ahh chef non non non c pas le moment de faire dodo là !!
S,True,,0.592,4.769,
P,False,,6.912,0.527,oh mais ... stppp
Q,False,,0.456,4.296,
U,False,,27.207,0.768,pfff dans ton cul (variante de dans tes rêves)
I,False,,0.472,7.736,
G,False,,46.917,0.487,ok allons regarder des trucs sur insta
N,False,,0.464,3.832,
W,False,,24.719,0.456,Non mais wesh !!
END,False,,1.015,30.318,
S,False,,0.785,4.944,
F,False,,20.67,0.44,ouuu du saphire
L,False,,1.265,2.0,
O,False,,26.358,0.496,oe mais bon c pas autant important que l'eau non plus
K,True,,0.528,2.608,
N,False,,41.102,0.464,"Oh oui ta raison Kylian, l'eau qd même hein"
J,False,,0.552,2.863,
V,False,,23.959,0.496,"oui, bah j'y vais chercher de l'eau alors"
END,False,,0.76,0.816,
