Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
T,False,,3.612,,0.809,1.192,,,6.168
D,True,,2.536,,0.464,0.809,,,2.847
A,False,,2.088,,0.896,2.753,,,5.168
X,False,,6.153,,0.783,0.856,,,3.832
K,False,,6.928,,0.441,1.04,,,10.321
L,False,,4.272,,0.519,1.264,,,3.712
I,False,,4.801,,0.527,7.648,,,7.192
E,False,,2.169,,0.64,1.249,,,4.72
H,True,,6.817,,0.647,42.435,,,9.359
R,False,,1.399,,0.497,0.873,,,3.872
V,True,,11.664,,0.528,9.904,,,5.905
S,False,,3.993,,0.56,1.136,,,5.225
V,False,,3.576,,0.688,0.872,,,4.976
END,False,,13.497,,0.0,2.545,,,0.0
PARITY,False,,0.0,,0.0,2.08,,,4.593
C,False,,4.432,,0.544,4.24,,,6.496
P,False,,4.776,,0.456,1.176,,,5.777
U,True,,5.16,I,0.712,23.481,,,12.241
I,False,,3.663,,0.488,1.56,,,6.449
S,False,,8.512,,0.473,3.48,,,8.761
O,False,,6.081,,0.511,1.952,,,5.249
U,False,,13.433,,0.489,4.68,,,3.856
B,True,,7.64,,0.456,1.16,,,4.544
Q,False,,1.104,,0.512,0.944,,,4.225
END,False,,4.704,,0.0,0.928,,,0.0
