Letter,IsFoC,PlanMistake,PlanTime
D,True,,1.832
T,False,,4.391
H,False,,2.889
K,False,,4.344
P,False,,4.64
D,False,,3.768
L,True,,6.584
C,False,,7.105
A,False,,2.2
X,False,,5.656
O,False,,7.992
F,False,,2.936
W,True,,24.177
S,False,,1.456
END,False,,13.08
G,False,,5.824
Q,False,,3.376
J,True,,6.521
C,False,,2.743
I,True,,4.52
F,False,,2.057
END,False,,6.96
