Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,DoMistake,DoTime
E,False,,4.407,,0.823,4.593,,8.162
F,False,,1.936,,0.744,1.159,,6.144
J,False,,4.4,,0.6,7.928,,8.129
A,False,,10.2,,20.521,1.936,,6.528
X,True,,7.848,,1.039,6.472,,7.184
U,False,,7.008,,35.657,1.312,,5.689
N,False,,6.216,,0.665,21.88,,7.864
G,False,,7.568,,42.352,1.176,,7.272
V,True,,13.272,S,1.199,58.552,,11.392
I,False,,2.776,,16.729,14.56,,9.32
S,False,,3.208,,2.4,1.752,,8.928
H,False,,6.848,,20.104,0.881,,5.463
O,False,,14.992,P,1.536,7.264,,12.473
END,False,,9.968,,0.0,9.303,,0.0
PARITY,False,,0.0,,0.0,6.369,,6.04
V,True,,4.944,,3.192,5.816,,5.328
D,False,,1.256,,1.729,1.104,,4.328
B,False,,6.56,,1.64,1.751,,17.441
J,False,,9.456,,1.048,2.128,,4.496
L,False,,5.384,,0.433,4.479,,17.889
H,False,,5.704,,10.448,1.135,,6.688
P,False,,30.64,,1.6,7.137,,11.225
END,False,,7.607,,0.0,1.215,,0.0
