Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
S,True,,0.504,4.4,
P,False,,13.68,0.96,smp/stp
A,False,,0.593,6.048,
H,False,,30.705,0.536,(avant: stp) ahh mais non laisse moi trql
G,False,,0.44,12.536,
S,False,U,17.688,2.649,oh mais c un vrai gugusse lui hein
O,True,,0.472,6.799,
V,False,,24.448,0.528,oh là là ... il a bien cherché mon ovule hein
K,True,,0.408,2.344,
F,False,,22.041,0.464,bon il faut que j'aille au KFC pour me détendre et oublier tout ca
D,False,,0.44,0.848,
I,False,,20.257,0.432,(au KFC) ptn on aurait dit P diddy
U,False,O,0.576,1.336,
N,True,,25.473,3.344,"mon dieu pk je repense encore, tsais quoi vas-y je joue au uno pour oublier"
T,False,Z,0.696,41.145,
END,False,,22.433,7.432,oh là là je vais le tuer après hein
PARITY,False,C,0.0,12.009,
C,False,,0.575,1.936,
T,False,,8.056,0.496,cathé
K,False,,0.424,2.216,
G,False,,29.937,0.432,il y avait Master KG avec nous ! Car il a fait Jerusalem
X,False,,0.409,1.52,
F,False,,166.932,0.408,oe en plus il fait la musique au xylophone là
B,False,,0.472,1.08,
END,False,,21.593,1.833,oe ... il est beau en plus
