Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
P,False,,1.288,8.071,
S,True,,6.647,0.472,playstation
W,False,,0.48,2.128,
K,True,,18.911,1.128,c tlm weak/faible ces ps4
T,False,,0.449,2.711,
Q,False,,26.222,0.424,oh mais t'inquiète ... ca va aller
G,False,,0.528,3.591,
R,False,,15.926,0.529,grr mais ca me stresse qd même hein ... ca m'énerve
I,False,,0.401,2.848,
E,False,,22.919,0.448,ie za koa ca m'énérve ...
L,False,,0.648,3.712,
U,False,,22.103,0.751,hein ?? Mais att c qui lui ???
END,False,,0.888,2.945,
B,False,,1.168,2.943,
I,False,,19.072,0.512,bah frr je suis binational hein
O,False,,0.496,3.487,
C,False,,30.262,0.432,"et oui c ca ce que j'ai choisi comme OC, la playstation ..."
V,False,,0.417,11.839,
G,False,,20.086,0.487,"oh mais sale VG, dégage !"
H,True,,0.456,10.744,
X,False,,31.319,0.488,hein ? je te rappelle que je connais le codage hex hein (pour le terminer)
END,False,,0.425,1.512,
