Letter,IsFoC,PlanMistake,PlanTime
W,False,,4.64
O,False,,2.288
H,False,,5.624
F,False,,2.384
J,False,,3.743
N,False,,3.064
G,False,,3.913
K,False,,2.776
D,False,,3.688
Q,False,,2.713
C,True,,17.416
I,False,,1.232
END,False,,15.072
V,True,,3.392
I,False,,3.792
M,False,,2.464
G,False,,7.512
W,False,,4.016
N,False,,4.273
X,False,,6.687
K,False,END,2.32
END,False,,9.936
