Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
O,False,,1.159,4.72,
S,False,,13.913,0.4,os de squelette / operation system
A,False,,0.384,1.96,
K,True,,15.288,3.041,hacké (operation system)
I,False,,0.616,2.032,
G,False,,14.856,0.424,instagram
U,False,E,0.504,2.64,
N,True,,6.28,11.144,hein quoi ??
E,False,,0.528,2.823,
L,False,,14.738,0.52,"oui, il a vrm des ailes sur le dos"
J,False,,0.446,5.864,
N,False,,20.593,0.785,oh mais j'en est marre de lui !
H,True,END,0.416,0.72,
R,False,,14.729,3.687,oui ... c hard qd même
END,False,,0.608,0.936,
J,False,,0.769,2.249,
T,False,,13.192,0.504,ahh le jitan !
X,False,,0.376,2.297,
U,False,,18.009,0.56,"il a bien vu le jitan hein, le XXX"
K,True,,0.4,8.233,
I,False,,25.313,0.536,hein qui ?
B,False,,0.496,1.08,
K,False,,33.842,0.471,oh non backup backup elles nous ont cramé !!
END,False,,0.368,0.592,
