Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
R,False,,9.407,,0.632,5.295,,,0.337
D,True,,4.296,,0.648,1.231,,,4.313
C,False,,3.672,,0.464,1.2,,,7.384
V,False,,2.776,,0.393,1.048,,,6.569
W,False,,3.272,,0.408,2.12,,,5.144
K,False,,11.737,,0.464,0.904,,,7.272
P,False,,7.576,,0.536,1.488,,,5.528
X,False,,7.089,,0.487,0.928,,,3.832
T,False,,11.008,,0.44,7.24,,,6.497
A,False,,7.104,,0.456,0.936,,,5.736
F,False,L,5.832,,17.001,0.944,,,10.552
D,False,,2.448,,1.209,0.857,,,2.951
END,False,,10.072,,0.0,5.177,,,0.0
N,False,,5.176,,0.457,5.36,,reverse setup move wrong,44.433
X,False,,6.431,,0.472,1.416,,,9.208
C,False,,4.312,,0.424,3.016,,,4.856
V,True,,3.208,,0.345,0.863,,,3.217
K,False,,1.376,,0.4,12.936,,,11.512
D,True,,6.672,,0.393,1.544,,,5.648
O,False,,3.751,,0.473,1.8,,,8.392
F,False,,4.256,,0.52,1.056,,,6.248
END,False,,2.504,,0.0,0.624,,,0.0
