Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
L,False,,0.392,8.593,
K,False,,11.184,0.536,big data leak
R,False,,0.456,5.736,
O,True,,50.227,0.728,tout ca à cause de qqn qui a roté (eh oui ce qui en sort est néfaste pour les données aussi)
E,False,,0.887,3.512,
P,False,,35.235,0.44,mais bon ca c un épisode parmi tant d'autres d'une série fantastique et extraordinaire
O,False,,0.568,4.616,
G,True,,16.241,0.376,cette série tlm ... original
C,False,,0.448,4.264,
T,False,,56.931,0.424,découvrez l'histoire ... du chat ! le virus vient de lui
G,False,,0.464,3.128,
A,True,,18.017,0.448,"mais aussi ... d'un simple bébé ""Gagagaga..."""
Q,False,,0.528,2.36,
END,False,,10.072,0.696,quoi ?? sérieux ???
PARITY,False,F,0.0,2.096,
F,False,,0.559,1.744,
B,False,,13.329,0.36,FBI open up !
P,False,,0.503,5.224,
H,True,,25.209,0.376,il semble que vous soyez en état d'arrestation pour avoir publié sur pornhub
U,False,,0.4,1.096,
C,False,,17.809,0.392,"oh non, ca doit être à cause de cette photo avec mon uc"
S,False,,0.496,2.479,
O,True,,37.29,0.441,so so ... alors ... alors on fait quoi ptn ???
T,False,,0.431,0.423,
END,False,,10.985,0.625,"t'inquiète, je vais m'en occuper"
