Letter,IsFoC,PlanMistake,PlanTime
N,False,,2.832
L,False,,3.672
H,False,,3.272
O,False,,3.184
D,True,,5.672
C,False,,2.84
S,False,,3.345
A,False,,11.033
U,False,,3.752
E,False,,3.16
J,True,,10.929
X,False,,3.352
P,False,,2.096
END,False,,15.209
PARITY,False,,0.0
P,False,,4.416
D,False,,2.385
M,False,,2.703
U,True,,2.025
T,False,,13.721
G,False,H,5.832
X,True,,16.817
Q,False,,12.545
S,False,,4.52
END,False,,8.64
