Letter,IsFoC,DoMistake,DoTime
O,False,,10.526
S,True,,6.287
R,False,,4.544
G,False,,7.176
S,False,,7.112
K,True,,7.496
P,False,,20.081
U,False,,6.345
N,True,,6.192
F,False,,4.896
E,False,,4.856
T,False,,6.2
C,True,,7.584
Q,False,,6.52
C,False,,7.032
END,False,,0.0
PARITY,False,,3.456
X,False,,8.208
U,False,,4.704
V,False,,3.088
O,True,,5.656
C,False,,6.44
W,False,,7.152
B,True,,4.512
F,False,,6.016
B,False,,4.168
END,False,,0.0
