Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
K,False,,0.688,4.488,
S,True,,15.823,0.56,kiss
O,False,,1.305,2.48,
E,False,,21.399,0.44,ohé ohé !! non mais arrêtez de vous embrasser un moment
G,False,,0.431,9.44,
Q,False,,70.83,0.496,oh mais toi ... sale guique va
S,False,,0.536,13.455,
N,True,,34.894,0.632,hein de quoi tu parles ? c qui qui maitrise mieux le sinus ici ?
C,False,,0.511,4.441,
F,False,,33.359,0.503,"oulà ca va chauffer là, bon je me dépèche de prendre le CFF pour m'échapper"
J,False,,0.464,7.712,
N,False,,19.127,0.487,ouf bah enfin .. non mais j'en ai marre de ces disputes à 2 balles là
END,False,,0.656,3.168,
O,False,,0.657,1.497,
L,False,,34.063,0.456,i'm going to oil up now ...
C,False,,1.824,4.712,
S,False,,34.823,0.464,ouf heureusement je me suis cassé à temps qd même ...
K,False,,0.503,13.311,
B,True,,22.552,0.488,"bon allez je vais me prendre un bon kebab là pour oublier tout ca, avec la sauce du chef !"
I,False,,0.471,5.185,
Q,False,,55.431,0.527,oh là là mon IQ ...
END,False,,0.928,2.984,
