Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
R,False,,1.424,4.104,
E,False,,7.056,0.383,on va prendre le RER les gars
O,True,,0.823,1.096,
I,False,,2.24,0.544,Oh ouiiii
A,False,,0.656,2.073,
N,False,,10.063,0.432,"Ok mais ... et l'ane alors, il pourra pas rentrer dedans"
U,False,,0.776,1.448,
P,False,,17.359,0.368,bah ... on peut le mettre en haut en vrai
O,False,,0.457,3.0,
G,True,,14.015,1.168,Oe c plutôt ... original comme idée
F,False,,0.44,18.992,
G,False,,16.472,0.543,"Oh mais ferme ta gueule un peu, c une superbe idée !"
END,False,,0.8,1.856,
S,False,,0.839,2.184,
D,False,,8.961,0.495,disque SSD
L,False,,0.431,2.912,
K,False,,19.511,0.569,il a eu un big data leak là hein ...
J,False,,0.472,10.855,
B,False,,27.151,0.56,ahh oui bah dcp ... on aura plus de gibier
END,False,,0.863,2.024,
