Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
N,False,,0.784,4.591,
P,False,,12.401,0.448,"""Nope"" - lucky luke"
Q,False,,0.416,3.256,
C,False,,150.495,0.44,tu vois vrm pas qui c'est/ qui est-ce ?
F,False,,0.424,7.193,
V,False,,21.393,0.424,mais enfin ... c mon chanteur favori !!
X,False,,0.432,5.04,
S,True,,109.405,0.472,Rataxès !
D,False,,0.56,2.728,
U,False,,25.449,0.912,ah oui c un dur lui non ?
R,False,,0.544,2.224,
W,False,,42.602,0.473,"oui surtout avec les chemins de fer, il veut imiter la suisse"
END,False,,0.441,4.184,
K,False,,1.679,4.271,
N,False,,9.857,0.824,Kylian
X,False,,0.521,1.592,
F,False,,22.968,0.464,xf cette frappe (xf = xd +2)
L,False,,0.384,1.616,
O,True,,20.865,0.496,LOLL !!
J,False,,0.432,1.192,
T,False,,25.425,0.391,"oui mais moi j'attend, j'ai de la patience, j'ai confiance en lui"
END,False,,0.416,0.761,
