Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
O,False,,3.773,,0.728,3.128,,,6.08
U,False,,1.447,,0.392,1.113,,,4.448
P,False,,2.081,,0.455,2.776,,t,11.897
D,True,,3.576,,1.016,17.121,,,3.824
W,False,,5.345,,0.624,5.753,,,5.096
T,False,,4.408,,0.592,1.048,,,6.961
G,False,,11.224,,0.584,6.648,,,5.76
I,False,,3.128,,5.617,0.976,,,6.529
F,False,,1.36,,0.52,5.224,,,4.76
A,False,,2.384,,0.992,1.192,,,5.744
D,False,,5.4,,0.504,1.073,,,2.872
END,False,,24.018,,0.0,3.249,,,0.0
PARITY,False,,0.0,,0.0,2.656,,,3.584
W,False,,5.225,,0.56,2.856,,,12.648
C,False,,2.952,,0.529,1.208,,,6.025
F,False,,3.616,,0.456,2.576,,,5.769
B,False,,4.273,,1.864,1.168,,,3.736
S,False,,13.041,,0.592,2.824,,,11.393
L,False,,4.328,,3.992,1.064,,,9.505
V,False,,7.544,,1.369,4.608,,,2.632
END,False,,6.776,,0.0,0.808,,,0.0
