Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
J,False,,0.568,6.159,
I,False,,17.896,0.664,Oui ! J'y suis
E,False,,0.425,1.32,
U,False,,9.12,0.552,je suis enfin en europe !
S,True,,0.44,2.079,
T,False,,23.833,0.48,j'ai fui satan !!
L,False,Q,0.464,12.592,
X,False,,30.777,7.328,mtn je vais pouvoir utiliser LateX
Q,False,,0.424,1.304,
H,False,,22.761,3.944,"eh bah, ct pas de la quiche hein de s'échapper"
V,False,,0.44,1.872,
S,False,,36.273,0.44, - oui bah vas-y mtn !
END,False,,0.808,1.28,
H,False,,2.769,1.016,
O,False,,3.591,0.456,ho ho ho
J,False,,0.464,29.729,
D,False,,13.72,0.384,encore toi ?? non non je déconne
Q,False,,0.504,1.368,
K,True,,8.312,0.6,je voulais juste faire un truc vite fait (quick)
U,False,,0.52,0.768,
K,False,,5.905,0.664,pour l'angleterre !!
END,False,,0.704,1.56,
