Letter,IsFoC,PlanMistake,PlanTime
G,False,,4.264
C,False,,5.36
J,False,,3.472
V,False,,2.944
K,False,,4.872
H,False,,3.384
E,False,,3.096
T,False,,4.664
F,False,,4.624
A,False,,2.936
W,False,,3.847
END,False,,15.52
PARITY,False,,0.0
T,False,,6.649
M,False,,4.672
V,True,,3.128
Q,False,,5.024
P,False,,8.472
U,True,,5.161
D,False,,1.895
X,False,,3.44
G,False,,3.52
END,False,,2.0
