Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
I,False,,5.21,,0.96,7.631,,,0.312
R,False,,2.567,,0.417,1.704,,,3.639
O,False,,2.415,,0.401,1.257,,,6.345
U,False,,8.088,,0.568,0.855,,,6.008
T,False,,7.586,,0.479,2.6,,,6.361
X,False,,3.943,,0.617,1.176,,,4.328
Q,False,,5.905,,0.375,4.081,,,7.215
D,True,,9.945,,0.496,0.944,,,3.657
P,False,,10.864,,0.504,2.152,,,7.0
W,False,,3.905,,0.783,0.824,,,6.248
D,False,,5.512,,0.624,0.967,,,2.872
END,False,,15.025,,0.0,1.216,,,0.0
PARITY,False,,0.0,,0.0,2.464,,,3.816
I,False,,3.047,,0.416,3.776,,,6.392
Q,False,,5.185,,0.439,1.001,,,5.776
V,False,,3.297,,0.423,0.896,,,3.312
U,False,,5.52,,0.416,0.816,,,3.592
J,False,,5.073,,0.409,3.712,,,4.041
S,False,,6.103,,0.49,0.952,,,6.704
W,False,,4.006,,0.761,1.672,,,4.455
END,False,,2.279,,0.0,0.896,,,0.0
