Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
P,False,,4.451,,0.544,2.528,,,5.864
Q,False,,2.824,,0.408,0.936,,,5.296
K,False,,2.96,,0.496,1.224,,,6.984
N,False,,2.936,,0.48,1.096,,,21.44
O,False,,5.904,,0.448,3.128,,,6.304
H,False,,6.296,,0.432,1.048,,,5.344
D,False,,3.496,,0.576,2.288,,,2.904
L,True,,4.008,,0.528,0.608,,,2.88
X,False,,2.0,,0.344,2.376,,,13.168
W,False,,2.448,,0.385,1.096,,,4.64
F,False,,3.232,,0.417,7.152,,,5.36
C,True,,6.864,,0.552,1.056,,,8.288
I,False,,1.104,,0.368,2.064,,,5.752
END,False,,14.105,,0.0,1.808,,,0.0
PARITY,False,,0.0,,0.0,2.138,,,4.294
V,True,,3.809,,0.503,11.92,,,8.104
H,False,,4.72,,0.481,2.144,,,5.32
M,False,,3.087,,0.409,2.128,,,5.416
I,False,,3.551,,0.432,0.888,,,5.016
Q,False,,3.152,,0.632,4.272,,,4.888
W,False,,3.344,,0.432,0.92,,,4.84
P,False,,10.577,,0.432,2.752,,,6.968
L,True,,2.936,,0.504,0.92,,,6.152
G,False,,3.104,,0.472,1.192,,,5.0
END,False,,2.192,,0.0,0.944,,,0.0
