Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
F,False,,3.496,,0.416,6.216,,,0.44
C,False,,2.304,,0.264,0.792,,,6.176
D,True,,3.152,,0.352,1.657,,,3.344
O,False,,1.568,,0.384,1.488,,,6.569
Q,False,,3.8,,0.36,1.912,,,5.584
G,False,,6.328,,0.505,0.831,,,5.633
S,False,,6.04,,0.392,3.528,,,9.704
J,False,,3.568,,0.383,0.928,,,5.761
D,False,,2.44,,0.392,2.032,,,2.776
N,True,,18.016,,0.536,0.873,,,5.767
K,False,,4.472,,0.456,2.961,,,8.175
N,False,,3.344,,0.472,0.896,,,5.64
END,False,,15.752,,0.0,4.216,,,0.0
G,False,,6.792,,0.449,8.664,,,5.648
I,False,,4.495,,0.368,19.217,,,5.256
T,False,,7.417,,0.464,5.12,,,5.015
V,True,,3.488,,0.416,1.448,,,3.6
C,False,,3.056,,0.401,6.496,,,5.305
S,False,,5.816,,0.344,0.968,,,5.52
B,False,,6.623,,0.361,1.273,,,3.784
V,False,,1.792,,0.416,1.073,,,2.495
END,False,,1.488,,0.0,0.768,,,0.0
