Letter,IsFoC,PlanMistake,PlanTime
D,True,,4.512
N,False,,2.208
Q,False,,1.8
L,False,,3.657
H,False,,3.84
S,False,,3.688
G,False,,2.344
P,False,,5.944
V,False,,1.872
C,False,I,2.768
E,False,,12.921
K,True,,9.864
U,False,V,1.792
END,False,,11.376
PARITY,False,,0.0
S,False,,6.417
M,False,,2.936
F,False,J,2.968
U,False,,12.12
O,False,,3.552
V,False,,2.984
B,False,,6.601
END,False,,4.567
