Letter,IsFoC,DoMistake,DoTime
U,False,,5.521
J,False,,7.135
H,False,,5.681
C,False,,5.704
E,False,,5.104
X,False,,6.352
L,False,,4.072
A,False,,5.113
T,False,,6.808
S,True,,6.296
O,False,,6.697
S,False,,5.375
END,False,,0.0
B,False,,4.577
T,False,,6.576
J,False,,3.681
H,True,,6.0
X,False,,5.2
G,True,,6.96
D,False,,8.944
L,False,,7.569
END,False,,0.0
