Letter,IsFoC,DoMistake,DoTime
T,False,flipped :(,21.272
S,True,,14.649
O,False,,7.008
R,False,,3.777
D,False,,2.839
F,False,,5.768
Q,False,,5.616
S,False,,5.289
K,True,,6.928
J,False,,4.632
U,False,,5.072
C,True,,5.688
I,False,,5.872
END,False,,0.0
PARITY,False,,3.311
H,True,,6.585
B,False,,4.712
L,False,,7.217
M,False,,4.688
K,False,,5.376
I,False,,5.24
H,False,,4.328
END,False,,0.0
