Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
D,False,,3.012,,0.368,10.336,,,9.281
J,False,,5.383,,0.544,0.719,,,6.624
L,False,,3.072,,0.368,1.696,,,3.6
C,False,,6.24,H,1.16,1.145,,,8.391
R,False,,9.608,,0.457,6.825,,,3.712
Q,False,,3.768,,8.865,1.416,,wrong reverse setup move (muscle memory bruh),60.218
X,True,,4.625,,0.552,1.472,,,4.088
T,False,,4.959,,17.401,0.728,,,6.472
X,False,,3.56,U,0.464,1.512,,,8.601
U,True,,4.231,,0.489,1.352,,,5.889
V,False,,2.288,,13.2,0.735,,,6.32
W,False,,4.344,,0.56,1.249,,,5.216
K,False,,2.688,,1.184,0.856,,why did I do I ???,35.321
END,False,,13.425,,0.0,16.016,,,0.0
PARITY,False,,0.0,,0.0,3.224,,,3.768
V,True,,8.84,,0.592,26.576,,,4.585
Q,False,,3.984,,0.439,1.936,,,6.047
I,False,,10.417,,0.424,4.4,,,5.816
W,False,,6.375,,17.225,0.976,,,6.016
G,False,,33.689,,0.52,7.816,,,5.936
H,False,,7.888,,5.4,0.712,,,6.009
K,False,,14.903,,12.441,8.8,,,6.12
END,False,D,9.272,,0.0,0.967,,,0.0
