Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,DoMistake,DoTime
E,False,,3.928,,1.128,4.128,,6.232
C,False,,2.32,,10.056,1.472,,6.76
N,False,X,6.296,,5.12,3.88,,7.056
L,False,,5.295,,14.137,1.272,,3.992
R,False,,4.736,,0.704,10.104,,4.36
S,False,,60.72,,3.511,1.528,,7.448
P,False,,4.424,,0.848,58.336,,6.216
O,False,,3.568,,12.712,1.128,,8.081
X,True,,7.567,,0.841,7.176,,7.68
K,False,,21.144,,61.881,1.688,,35.993
X,False,,23.512,,1.552,3.952,,5.688
A,True,,34.384,,0.672,1.607,,36.112
Q,False,,1.08,,0.6,9.304,,0.616
END,False,,9.288,,0.0,4.472,,0.0
PARITY,False,,0.0,,0.0,3.211,,4.862
J,False,,4.88,,0.815,7.528,,6.28
Q,False,,5.768,C,3.272,1.384,,15.169
I,False,,4.624,,0.488,35.056,,16.448
S,False,,4.064,,0.952,6.312,,10.376
O,False,,12.392,,0.784,1.952,,7.44
G,False,,24.496,,0.568,1.479,,5.176
V,False,,5.72,,0.712,5.481,,22.984
END,False,,37.08,,0.0,2.296,,0.0
