Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
A,False,,0.424,4.008,
V,False,,17.52,0.552,avé César
L,False,C,0.568,3.088,
U,False,,38.065,4.448,lui c'est César
H,False,C,0.488,0.952,
S,True,,43.401,6.336,yeah he's an hassle
E,False,,0.553,1.736,
P,False,,16.568,0.424,"hein ? Et pis quoi, et pis quoi encore hein"
X,False,,0.561,13.072,
C,False,,20.704,0.512,bah ... il est dans l'excès aussi là ..
N,False,,0.576,1.76,
S,False,,17.121,0.416,oe ... il est nase surtout
END,False,,0.639,6.392,
Q,False,,1.017,8.336,
J,False,,31.344,0.513,tu veux que je ... que je ... et que je ... ??
D,False,,0.656,2.319,
S,False,,16.984,0.496,et le pire: que je danse avec elle ??
L,False,,0.576,1.256,
T,False,,9.337,0.32,bah frr il faut lutter dans la vie hein
END,False,,0.888,1.312,
