Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
P,False,,0.568,2.624,
U,False,,7.601,0.616,oh mais ca puu
F,False,,1.847,1.801,
X,False,,17.928,0.367,oh mais c les renards aussi (fox)
N,False,L,0.488,87.565,
S,True,,39.351,39.431,oh mais c'est nase tout ca ...
W,False,,0.568,10.999,
O,True,,20.448,0.896,oui mais au moins ici on va trouver de la laine (wool)
A,False,,0.648,5.073,
E,False,,35.047,1.503,"AIE ! et pour couronner le tout, un renard m'a mordu pff"
H,False,,0.664,2.36,
C,False,,24.888,1.24,"mec je vais le buter avec ma hache celui-là hein, viens par là toi !"
O,False,,0.616,1.136,
END,False,,13.991,1.032,O o ... il a ramené toute sa bande
PARITY,False,H,0.0,44.39,
H,False,,2.177,3.728,
O,True,,6.199,1.0,Ho ho ho
I,False,,0.463,12.599,
U,False,,64.286,1.105,"hein, c quoi cet interface inversé de merde là"
W,False,,0.52,6.375,
K,True,,18.487,1.016,ok .. je suis déf wicked (père noel)
B,False,,0.663,6.944,
C,False,,26.032,2.464,oui parce qu'en plus j'ai perdu le bac à jouet ...
V,False,,0.593,1.28,
END,False,,11.879,1.848,à cause de tout ce vandalisme aussi
