Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,DoMistake,DoTime
X,False,,4.416,,0.816,11.911,,1.697
D,True,,2.567,,2.544,3.679,,4.072
L,False,,4.472,,0.672,6.457,,5.024
T,False,P,5.024,,14.176,1.464,,7.048
K,False,,6.16,,0.544,2.032,,16.456
S,False,,4.785,,4.144,1.4,,9.511
J,False,,33.041,,1.208,10.04,,8.432
C,False,,9.472,,8.168,1.712,,8.44
O,False,,13.704,,1.617,5.2,,8.736
R,False,,7.327,,15.609,2.463,,5.76
D,False,,12.184,,1.071,1.496,,3.465
A,True,END,51.993,,1.625,2.568,,7.464
Q,False,,1.288,,0.736,3.601,,11.224
END,False,,23.112,,0.0,2.672,,0.0
PARITY,False,,0.0,,0.0,2.752,,6.408
U,False,,4.384,,0.633,9.352,,5.144
C,False,,4.511,,2.528,3.328,,7.145
Q,False,,5.272,,0.664,4.967,,5.216
V,True,,4.168,,6.632,2.44,,6.048
I,False,,20.187,,0.647,1.9,,8.292
T,False,,17.117,,0.711,2.673,,6.92
P,False,,7.7,,0.625,5.944,,13.153
END,False,,12.333,,0.0,0.797,,0.0
