Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
X,False,,13.255,,0.504,1.591,,,3.968
O,False,,3.305,,0.392,0.751,,,5.24
I,False,,2.823,,0.32,1.088,,,4.609
T,False,,5.8,,0.496,0.848,,,7.807
L,False,,3.719,,0.473,7.984,,,3.2
R,False,,2.455,,0.44,0.84,,,3.385
K,False,,4.728,,0.52,2.24,,,6.928
D,False,,9.121,,0.56,0.936,,,4.504
Q,False,,2.96,,0.576,2.913,,,5.977
J,True,,13.752,,0.569,4.687,,,6.68
S,False,,2.703,,0.401,1.152,,,14.168
J,False,,3.423,,0.384,1.04,,,4.888
END,False,,3.552,,0.0,4.16,,,0.0
V,True,,4.176,,0.504,3.912,,,4.393
F,False,,4.969,,0.471,1.383,,,5.208
S,False,,3.994,,0.518,3.512,,,4.289
N,False,Q,4.281,,16.2,0.984,,,5.136
C,False,,4.631,,0.489,1.464,,,7.152
U,False,,3.632,,0.497,1.256,,,4.712
T,False,,6.744,,0.472,1.072,,,5.6
K,False,,10.911,,0.528,0.881,,,15.343
END,False,,6.152,,0.0,1.264,,,0.0
