Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
P,False,,5.162,,0.503,2.375,,,5.775
Q,False,,2.617,,0.376,2.744,,,6.416
X,False,,3.192,,0.393,1.52,,,3.687
K,False,,3.303,,0.4,1.017,,,5.696
W,False,,5.312,,0.456,12.224,,,5.801
N,False,,7.92,,0.464,1.112,,,5.08
C,False,,6.88,,0.471,1.616,,,7.465
O,False,,4.112,,0.448,0.824,,,6.015
D,True,,8.913,,0.536,6.297,,,3.384
R,False,,3.304,,0.576,0.632,,,3.744
L,False,,2.528,,0.665,1.432,,,4.345
E,False,,1.831,,0.369,1.04,,"wtf did I do, wrong setup move ??",48.162
END,False,,10.176,,0.0,27.288,,,0.0
P,False,,4.336,,0.4,8.76,,,7.376
U,True,,3.391,,0.497,0.912,,,4.392
G,False,,2.175,,0.561,2.488,,,5.423
J,True,,6.247,,0.632,2.88,,,4.225
C,False,,2.416,,0.6,5.633,,,5.839
D,True,,13.528,,0.513,0.824,,,3.952
W,False,,2.783,,0.408,1.025,,,5.096
B,False,,3.352,,0.368,0.847,,,3.696
S,False,,8.737,,0.431,2.152,,,6.809
I,False,,6.369,,0.384,0.615,,,4.617
END,False,,1.648,,0.0,0.879,,,0.0
