Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
W,False,,0.609,4.76,
H,False,,9.256,0.471,wesh !
L,False,,0.545,1.536,
P,False,,27.273,0.456,on l'a loupé
V,False,,0.424,3.128,
T,False,,22.193,0.424,oh mais tsais quoi Va-t-en c a cause de toi de tt façon
I,False,,0.415,3.577,
G,False,,66.41,0.736,quoi ? mais non c toi qui était trop sur insta !
K,True,,0.448,1.776,
Q,False,,18.992,0.768,k k quoi ?? Mais t sérieux ? comment oses tu m'accuser ainsi ?
E,False,,0.464,7.04,
K,False,,12.08,1.008,(l'autre) erk mais ... mais tu pues
END,False,,3.992,0.735,
H,False,,0.537,4.713,
O,True,,5.792,0.568,ho ho ho
U,False,H,0.432,2.752,
T,False,,26.784,3.432,telma tous les trucs que le père noel a acheté ...
K,True,,0.848,8.784,
M,False,,23.681,0.896,oui .. et dire qu'il est allez chez KLM juste pour ça
Q,False,,0.44,44.145,
K,False,,28.377,0.816,oe ... rapidement en plus (quick)
END,False,,0.736,1.384,
