Letter,IsFoC,PlanMistake,PlanTime
I,False,,2.905
O,False,,2.697
D,True,,5.16
A,False,,2.663
P,False,,4.345
H,False,,5.184
W,False,S,3.176
N,False,,10.64
F,False,,15.049
U,False,,7.952
G,False,,4.304
D,False,,2.817
END,False,,26.353
K,False,,13.912
N,False,,4.152
U,True,,3.937
C,False,,3.808
U,False,,7.599
D,True,,3.737
F,False,,3.12
W,True,,7.361
H,False,,4.063
W,False,,6.001
END,False,,2.016
