Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
S,False,,0.544,17.241,
F,False,,16.577,0.512,souffle
O,True,,0.512,2.265,
N,False,,16.04,0.392,il est activé
J,False,,0.512,3.488,
X,False,,17.769,0.448,donc les jeux peuvent commencer
A,False,,0.48,3.136,
H,False,,23.737,0.432,ahhhh mais ... mais ce souffle est trop puissant
D,False,,0.576,4.937,
C,False,,20.192,0.456,quoi ... tu veux déceder toi aussi ?
U,False,,0.576,8.6,
V,False,,13.192,0.456,non mais frr c bourré d'ultraviolets
END,False,,0.664,1.712,
B,False,,1.096,2.577,
P,False,,8.536,0.4,bip
L,False,,0.433,2.04,
I,False,,19.041,0.457,le livre est bippé
S,False,,0.504,3.496,
O,True,,27.408,0.425,oh là là en plus il y a du soleil
C,False,,0.544,41.385,
T,False,,24.009,0.584,on pourra commencer le cathé avec ces livres alors
END,False,,0.959,1.567,
