Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
T,False,,1.238,33.649,
Q,False,,12.905,0.495,oh mais t'inquiète ...
F,False,,0.519,1.648,
R,False,,18.17,0.416,oui mais frère ...
D,False,,0.607,6.112,
J,False,,26.041,0.888,bah quoi c juste un DJ
S,True,W,0.415,23.034,
C,False,,41.57,4.927,oui mais là on est en speedcubing ptn
O,False,,0.625,19.609,
X,False,,20.889,0.48,musique OX (le DJ commence)
W,False,,0.623,5.344,
K,True,,20.417,0.967,oh non on est déf wicked ...
U,False,,0.656,6.64,
END,False,,0.0,1.728,
PARITY,False,,0.0,0.857,
B,False,,42.337,44.657,"(avant) oh mais toi, U ..."
V,False,,19.704,0.456,ah bah bravo hein pour ce fiasco ...
H,False,,0.424,2.856,
F,False,,61.146,0.544,ahh chef ... oui mtn je regrette un peu
J,False,,0.592,2.96,
L,False,G,15.736,0.848,oh maits tkt je rigolais
W,False,,0.473,2.992,
END,False,,0.0,1.009,
