Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
J,False,,6.297,,0.576,8.617,,,5.104
T,False,,2.84,,0.424,1.072,,,5.176
C,False,,2.488,,0.335,1.528,,,5.904
V,False,,1.0,,0.4,1.666,,,7.334
H,False,,8.096,,0.431,1.416,,,6.281
L,False,,2.833,,0.448,1.68,,,3.984
D,False,,2.392,,0.352,5.128,,,3.024
X,False,,1.128,,0.368,0.92,,,5.336
W,True,,11.0,,0.425,1.937,,,4.976
S,False,,1.728,,0.392,0.872,,,5.368
END,False,,2.41,,0.0,1.576,,,0.0
W,False,,4.711,,0.544,3.824,,,6.568
H,False,,14.697,,0.536,1.88,,,5.449
U,False,,4.968,V,0.552,7.023,,,6.273
I,False,,2.584,,0.488,0.999,,,5.624
V,False,,3.456,,0.416,0.912,,,2.89
M,False,,5.312,,0.455,0.67,,,4.632
B,True,,3.296,,0.528,18.944,,,4.224
Q,False,,1.968,,0.536,2.368,,,3.848
END,False,,3.392,,0.0,0.968,,,0.0
