Letter,IsFoC,PlanMistake,PlanTime,MemoMistake,MemoTime,MemoRecallTime,MemoHint,DoMistake,DoTime
D,True,,4.344,,1.616,4.656,,,3.599
X,False,,3.488,,45.561,1.337,xd inversé,,4.464
D,False,,2.312,,1.248,1.312,,,3.056
L,True,,4.632,,13.016,0.793,download,,4.184
R,False,,5.056,,0.536,1.311,,,3.68
Q,False,,4.2,,37.33,1.12,ce raq (oui je suis obligé de le télécharger dx monde à l'envers),,5.631
K,False,,7.2,,0.575,6.897,,,5.849
F,False,,10.817,,13.272,2.592,bon je vais au kfc en attendant,,5.415
V,True,,5.464,N,1.328,4.817,,,10.96
I,False,,7.408,,23.152,2.0,"bon allez vite !! pour oublier ce désastre, ce bruh",,5.776
N,False,,6.105,,0.735,1.529,,,4.832
V,False,,2.944,,13.016,0.992,oh tiens ... c nouveau tout ca non ? (au KFC),,5.112
W,True,,9.4,,1.16,0.992,,,8.977
S,False,,2.104,,29.777,0.904,bon en soit ... autant utiliser websocket pour télécharger cela,,5.824
END,False,,12.679,,3.681,4.92,,,0.0
Q,False,,9.792,,0.721,24.16,,,5.017
W,False,,4.919,V,92.242,1.568,oh l'esquiwe avec le wagon,,5.2
I,False,,5.464,,0.544,9.881,,,5.128
U,True,,5.312,,41.458,3.368,"ui, quel ... esquiwe (oui tt est à l'envers ici)",,6.048
H,False,J,3.455,V,10.361,37.785,,,8.536
L,False,I,5.712,I,35.449,0.768,oe grâce à ça mtn on a la high life !,,11.4
J,True,,8.072,,0.568,1.009,,,3.999
C,False,,2.768,,15.616,0.784,oe ...c grâce à Jacques dans subway surfers !,,4.465
END,False,,1.384,,1.137,1.392,,,0.0
