Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
W,False,,0.408,2.263,
A,False,,21.69,0.473,wall-e !
X,False,,0.48,3.551,
I,False,,21.369,0.504,oh là tena xitana izy !
F,False,,0.416,3.689,
R,False,,14.497,0.464,yeah fr bro (oui je mélange toutes les langues)
T,False,,0.43,3.321,
J,False,,27.69,0.592,oe bah en même temps elle l'a tej ...
D,False,,0.672,4.68,
V,False,,19.481,0.504,mtn il a plus qu'à regarder des dvd pour se détendre
K,False,,0.463,1.392,
END,False,,16.009,0.624,oui car là il est un peu dans le caca
PARITY,False,,0.0,0.945,
D,False,,0.647,4.824,
Q,False,,64.707,0.496,d'accord
H,True,,0.359,2.272,
K,False,,31.401,0.496,on va gravir la montagne (hike) !
T,False,,0.448,1.617,
G,False,,8.4,0.423,ohh mais tg toi !
S,False,,0.552,2.441,
C,True,,32.602,0.456,laisse moi faire du speed cubing non ?
M,False,,0.464,0.824,
END,False,,20.585,0.664,"mmh, qu'est-ce qui est le plus important, faire du speedcubing ou gravir la montagne ?"
