Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
T,False,,0.809,6.344,
X,False,,5.832,0.424,toux
D,False,,0.624,1.12,
A,False,,168.701,0.472,oh it's dad in fact
S,True,,0.448,2.056,
V,False,,56.761,0.48,yeah bc of that slave ..
C,False,,0.504,5.384,
J,False,,15.314,0.984,oui il mérite d'aller dans la cage là non
F,False,,0.774,1.576,
W,False,,9.336,0.44,oui allez en avant ! (forward)
END,False,,0.88,3.328,
C,False,,1.024,3.16,
P,False,,6.904,0.448,checkpoint
I,False,,0.528,0.592,
Q,False,,17.289,0.512,IQ
G,True,,0.472,2.168,
U,False,,15.369,0.608,yah gut !
END,False,,1.224,1.592,
