Letter,IsFoC,PlanMistake,PlanTime
H,False,,8.56
A,False,,2.872
N,False,T,5.808
K,False,,10.832
E,False,,3.864
I,False,,2.456
G,False,,4.095
S,False,,8.553
V,False,,3.191
F,False,,4.545
END,False,,33.641
V,True,,3.088
C,False,,3.137
I,False,,3.351
V,False,,5.256
W,True,U,7.809
Q,False,,5.048
S,False,,5.856
T,False,,3.281
END,False,,1.512
