Letter,IsFoC,PlanMistake,PlanTime
C,False,,2.856
E,False,,1.975
L,True,,2.584
S,False,,3.856
T,False,,4.056
G,False,,6.488
K,False,,7.2
J,False,,2.288
V,False,,1.896
H,False,,4.016
A,False,,6.848
L,False,,18.009
END,False,,13.08
W,False,,3.615
K,False,,3.121
X,False,,4.823
Q,False,,7.793
D,False,,4.248
U,False,,2.64
J,True,,2.496
M,False,,0.992
END,False,,1.6
