Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
R,False,,0.504,16.28,
F,False,,7.704,0.433,ref
I,False,,0.512,2.127,
S,True,,33.233,0.456,de l'ivresse
O,False,A,0.448,4.856,
K,False,,7.84,11.36,ah euh ... ok
A,False,,0.52,1.264,
D,False,,40.377,0.392,ah oui ca c Adrien tout craché
N,False,,0.456,95.203,
P,False,,27.201,0.8,oe il est temps de prendre une sieste mon Adrien ...
G,False,,0.487,2.473,
W,False,,37.234,1.752,oui t pas au centre du monde hein puisque t pas sur greenwich
END,False,,0.744,5.344,
H,True,,0.848,3.393,
P,False,,17.56,0.504,points de vie
C,False,,0.376,1.24,
H,False,,14.273,0.8,de la suisse ... elles sont bonnes
O,True,,0.479,3.856,
W,False,,75.546,0.504,oui la suisse ... c comme un hibou
G,True,,0.52,6.152,
U,False,,27.313,1.025,Jaa Schweiz is gut
B,True,,0.488,4.608,
N,False,,33.248,0.336,"ah oui l'allemand hein, oui lui c un bon !"
END,False,,0.584,0.824,
