Letter,IsFoC,MemoMistake,MemoTime,MemoRecallTime,MemoHint
S,True,,0.8,6.735,
J,False,,15.977,0.896,sauce soja
C,False,,0.463,1.945,
V,False,,19.761,0.543,"... sur mon CV, noooon !!"
R,False,,0.552,5.784,
D,False,,24.873,0.417,bro ... how to get rid of that ???
L,False,,0.624,4.632,
A,False,,27.569,0.584,mais où ?? bah là là !!
U,False,W,0.456,6.992,
X,False,,33.393,2.336,bah frr il reste plus qu'à lire le cv sur une interface UX hein ...
W,False,,0.464,1.392,
N,True,,30.04,0.68,"héhéhé yeah we won, they are now forced to use our program"
T,False,,0.448,15.185,
END,False,,63.666,0.896,oh là là tout ca pour une tache ...
PARITY,False,,0.0,0.936,
L,False,,1.728,5.152,
M,False,,16.76,0.544,oh ... mais elle aime qui celle-là ?
D,False,,0.48,1.016,
H,True,,28.521,0.944,bon il faut que je prenne une douche pour oublier cela
W,False,,0.488,11.072,
V,False,,18.792,0.408,je rêve d'une volkswagen super spécial ...
H,False,,0.432,0.832,
END,False,,37.674,0.753,avec une hache dans la main pour les buter de manière élégante
