Letter,IsFoC,DoMistake,DoTime
I,False,,5.424
D,False,,3.68
J,False,,5.144
A,False,,6.472
T,False,,6.056
S,True,,6.297
O,False,,6.696
X,False,,4.344
U,False,,6.096
W,False,,6.296
END,False,,0.0
H,True,,5.545
F,False,,4.976
J,False,,3.64
P,False,,18.784
U,False,,4.0
T,False,,8.168
B,False,,3.968
H,False,,4.536
END,False,,0.0
